catologNumber,country,locationID,decimalLatitude,decimalLongitude,eventDate,verbatimDepth,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,taxonID,scientificName,acceptedNameUsage ,acceptedNameUsageID,individualCount,Abundance,wet weight biomass,Zoobenth_tax_ww_biomass
40,NA,9,45.00694166,12.92854166,2008-10-26,21 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_43,31 min haul duration,0.03572767973,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
41,NA,10,45.09945834,13.25025,2008-11-06,21 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_44,32 min haul duration,0.0368764773,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
42,NA,13,44.60818332,12.73935833,2008-10-25,21 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_45,31 min haul duration,0.03630207852,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
43,NA,14,44.73999166,13.08565833,2008-10-26,21.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_46,32 min haul duration,0.03616565838,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
44,NA,18,44.40078333,12.84240834,2008-10-25,21.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_47,32 min haul duration,0.0368764773,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
45,NA,19,44.45839167,13.16165001,2008-10-26,21.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_48,32 min haul duration,0.03616565838,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
46,Italy,29,43.73704999,13.607925,2008-10-23,21.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_49,30 min haul duration,0.03284131736,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
47,NA,51,45.332875,13.06869166,2008-11-04,21.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_50,20 min haul duration,0.02304779924,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
48,NA,53,44.55649999,13.55434167,2008-11-07,21.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_51,17 min haul duration,0.01865363866,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
49,NA,54,44.23999166,12.96583331,2008-10-25,21.1000003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_52,32 min haul duration,0.0368764773,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
50,NA,58,45.00173334,13.24308333,2008-11-06,21.1000003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_53,31 min haul duration,0.03515328094,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
51,NA,59,44.70234998,12.76808335,2008-10-25,21.1499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_54,31 min haul duration,0.03640978038,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
52,NA,60,44.67460833,13.48136667,2008-11-06,21.1499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_55,16 min haul duration,0.01843823865,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
53,NA,61,44.44905,12.61378333,2008-10-25,21.1499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_56,31 min haul duration,0.03515328094,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
54,NA,62,44.45574166,12.73584998,2008-10-25,21.1499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_57,30 min haul duration,0.03515328094,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
55,Italy,67,43.34198333,13.98144999,2008-10-20,21.1500015258789 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_58,33 min haul duration,0.03803245723,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
56,NA,22,44.40116666,13.65633332,2008-11-07,21.1500015258789 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_59,15 min haul duration,0.01728943922,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
57,NA,23,44.331975,14.038775,2008-11-07,21.2000007629394 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_60,16 min haul duration,0.01751920022,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
58,NA,26,44.03641667,13.33275,2008-10-23,21.2000007629394 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_61,31 min haul duration,0.03503840044,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
59,NA,30,43.96748333,13.99643335,2008-10-27,21.25 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_62,32 min haul duration,0.0368764773,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
60,Italy,32,44.02669167,14.48769166,2008-11-07,21.25 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_63,34 min haul duration,0.03786731884,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
61,NA,35,43.44784168,14.20715,2008-10-20,21.25 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_64,35 min haul duration,0.04033723846,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
62,Italy,36,43.66895835,14.83473333,2008-11-07,21.25 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_65,33 min haul duration,0.03730009869,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
